"","front","typhoon","hr","ehr","tr","etr"
"20010920",0,0,0,0,0,0
"20010921",0,0,0,0,0,0
"20010922",0,0,0,0,0,0
"20010923",0,1,1,0,0,0
"20010924",0,1,1,0,0,0
"20010925",0,1,1,0,0,0
"20010926",0,1,1,1,0,0
"20010927",0,1,1,1,0,0
"20010928",0,1,0,0,0,0
"20010929",0,0,1,0,0,0
"20010930",0,0,0,0,0,0
"20011001",0,0,0,0,0,0
"20011002",0,0,0,0,0,0
"20011003",0,0,0,0,0,0
"20011004",1,0,0,0,0,0
"20011005",0,0,0,0,0,0
"20011006",0,0,0,0,0,0
"20011007",0,0,0,0,0,0
"20011008",1,0,0,0,0,0
"20011009",1,0,0,0,0,0
"20011010",0,0,0,0,0,0
"20011011",0,0,0,0,0,0
"20011012",0,0,0,0,0,0
"20011013",0,0,0,0,0,0
"20011014",0,0,0,0,0,0
"20011015",0,1,1,0,0,0
"20011016",0,1,1,1,0,0
"20011017",0,0,1,0,0,0
"20011018",0,0,0,0,0,0
"20011019",0,0,0,0,0,0
"20011020",0,0,0,0,0,0
"20011021",0,0,0,0,0,0
"20011022",0,0,0,0,0,0
"20011023",0,0,0,0,0,0
"20011024",0,0,0,0,0,0
"20011025",0,0,0,0,0,0
"20011026",0,0,0,0,0,0
"20011027",1,0,0,0,0,0
"20011028",1,0,0,0,0,0
"20011029",1,0,0,0,0,0
"20011030",0,0,0,0,0,0
"20011031",0,0,0,0,0,0
"20011101",1,0,0,0,0,0
"20011102",1,0,0,0,0,0
"20011103",1,0,0,0,0,0
"20011104",0,0,0,0,0,0
"20011105",1,0,0,0,0,0
"20011106",0,0,0,0,0,0
"20011107",0,0,0,0,0,0
"20011108",0,0,0,0,0,0
"20011109",0,0,0,0,0,0
"20011110",0,0,0,0,0,0
"20011111",0,0,0,0,0,0
"20011112",0,0,0,0,0,0
"20011113",0,0,0,0,0,0
"20011114",0,0,0,0,0,0
"20011115",0,0,0,0,0,0
"20011116",0,0,0,0,0,0
"20011117",0,0,0,0,0,0
"20011118",0,0,0,0,0,0
"20011119",0,0,0,0,0,0
"20011120",0,0,0,0,0,0
"20011121",0,0,0,0,0,0
"20011122",0,0,0,0,0,0
"20011123",0,0,0,0,0,0
"20011124",0,0,0,0,0,0
"20011125",0,0,0,0,0,0
"20011126",0,0,0,0,0,0
"20011127",0,0,0,0,0,0
"20011128",0,0,0,0,0,0
"20011129",0,0,0,0,0,0
"20011130",0,0,0,0,0,0
"20011201",0,0,0,0,0,0
"20011202",0,0,0,0,0,0
"20011203",1,0,0,0,0,0
"20011204",1,0,0,0,0,0
"20011205",0,0,0,0,0,0
"20011206",0,0,0,0,0,0
"20011207",0,0,0,0,0,0
"20011208",0,0,0,0,0,0
"20011209",0,0,0,0,0,0
"20011210",0,0,0,0,0,0
"20011211",0,0,0,0,0,0
"20011212",1,0,0,0,0,0
"20011213",1,0,0,0,0,0
"20011214",0,0,0,0,0,0
"20011215",0,0,0,0,0,0
"20011216",1,0,0,0,0,0
"20011217",1,0,0,0,0,0
"20011218",0,0,0,0,0,0
"20011219",0,0,0,0,0,0
"20011220",1,0,0,0,0,0
"20011221",1,0,0,0,0,0
"20011222",0,0,0,0,0,0
"20011223",0,0,0,0,0,0
"20011224",0,0,0,0,0,0
"20011225",0,0,0,0,0,0
"20011226",0,0,0,0,0,0
"20011227",0,0,0,0,0,0
"20011228",0,0,0,0,0,0
"20011229",0,0,0,0,0,0
"20011230",0,0,0,0,0,0
"20011231",0,0,0,0,0,0
"20020101",0,0,0,0,0,0
"20020102",0,0,0,0,0,0
"20020103",0,0,0,0,0,0
"20020104",0,0,0,0,0,0
"20020105",0,0,0,0,0,0
"20020106",0,0,0,0,0,0
"20020107",0,0,0,0,0,0
"20020108",0,0,0,0,0,0
"20020109",0,0,0,0,0,0
"20020110",0,0,0,0,0,0
"20020111",0,0,0,0,0,0
"20020112",0,0,0,0,0,0
"20020113",0,0,0,0,0,0
"20020114",0,0,0,0,0,0
"20020115",0,0,0,0,0,0
"20020116",1,0,0,0,0,0
"20020117",1,0,0,0,0,0
"20020118",0,0,0,0,0,0
"20020119",1,0,0,0,0,0
"20020120",1,0,0,0,0,0
"20020121",0,0,0,0,0,0
"20020122",0,0,0,0,0,0
"20020123",0,0,0,0,0,0
